认证成功，开始演示批量操作...
批量订阅 1 只股票...
批量订阅请求已发送
2025/06/12 22:26:40 [数据流转] 收到数据: 股票=SZ000815, 类型=4, 数据结构=[]interface {}
2025/06/12 22:26:40 [数据流转] 逐笔成交数据为数组格式，长度: 1500
2025/06/12 22:26:40 [数据流转] 成功解析 1500 条逐笔成交记录
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 400, 时间: 09:25:00, 成交ID: 53
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 54
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4300, 时间: 09:25:00, 成交ID: 55
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 400, 时间: 09:25:00, 成交ID: 56
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 700, 时间: 09:25:00, 成交ID: 57
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 300, 时间: 09:25:00, 成交ID: 58
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 7200, 时间: 09:25:00, 成交ID: 59
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 400, 时间: 09:25:00, 成交ID: 60
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 61
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -700, 时间: 09:25:00, 成交ID: 62
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 63
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 64
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 65
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 66
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 67
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 68
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 69
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 70
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 71
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1800, 时间: 09:25:00, 成交ID: 72
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 73
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 74
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 75
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 76
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1500, 时间: 09:25:00, 成交ID: 77
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 8000, 时间: 09:25:00, 成交ID: 78
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 18600, 时间: 09:25:00, 成交ID: 79
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 900, 时间: 09:25:00, 成交ID: 80
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 81
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 82
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 900, 时间: 09:25:00, 成交ID: 83
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 10000, 时间: 09:25:00, 成交ID: 84
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -400, 时间: 09:25:00, 成交ID: 85
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 900, 时间: 09:25:00, 成交ID: 86
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 6300, 时间: 09:25:00, 成交ID: 87
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 700, 时间: 09:25:00, 成交ID: 88
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -300, 时间: 09:25:00, 成交ID: 89
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 90
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 91
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1100, 时间: 09:25:00, 成交ID: 92
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 93
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 7400, 时间: 09:25:00, 成交ID: 94
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 95
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -2000, 时间: 09:25:00, 成交ID: 96
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 7000, 时间: 09:25:00, 成交ID: 97
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1100, 时间: 09:25:00, 成交ID: 98
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3400, 时间: 09:25:00, 成交ID: 99
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3000, 时间: 09:25:00, 成交ID: 100
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1100, 时间: 09:25:00, 成交ID: 101
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2300, 时间: 09:25:00, 成交ID: 102
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2600, 时间: 09:25:00, 成交ID: 103
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4900, 时间: 09:25:00, 成交ID: 104
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 105
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 106
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 17200, 时间: 09:25:00, 成交ID: 107
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 10000, 时间: 09:25:00, 成交ID: 108
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 109
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 110
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 24100, 时间: 09:25:00, 成交ID: 111
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 112
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 5100, 时间: 09:25:00, 成交ID: 113
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 114
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 8900, 时间: 09:25:00, 成交ID: 115
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4700, 时间: 09:25:00, 成交ID: 116
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 117
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4100, 时间: 09:25:00, 成交ID: 118
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2700, 时间: 09:25:00, 成交ID: 119
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2500, 时间: 09:25:00, 成交ID: 120
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2300, 时间: 09:25:00, 成交ID: 121
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 300, 时间: 09:25:00, 成交ID: 122
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 11200, 时间: 09:25:00, 成交ID: 123
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 8300, 时间: 09:25:00, 成交ID: 124
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 125
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 126
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 6900, 时间: 09:25:00, 成交ID: 127
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 128
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 10000, 时间: 09:25:00, 成交ID: 129
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 10000, 时间: 09:25:00, 成交ID: 130
